film,vehicles
http://swapi.co/api/films/1/,http://swapi.co/api/vehicles/4/
http://swapi.co/api/films/1/,http://swapi.co/api/vehicles/6/
http://swapi.co/api/films/1/,http://swapi.co/api/vehicles/7/
http://swapi.co/api/films/1/,http://swapi.co/api/vehicles/8/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/4/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/44/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/45/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/46/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/50/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/51/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/53/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/54/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/55/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/56/
http://swapi.co/api/films/5/,http://swapi.co/api/vehicles/57/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/33/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/34/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/35/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/36/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/37/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/38/
http://swapi.co/api/films/4/,http://swapi.co/api/vehicles/42/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/33/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/50/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/60/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/62/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/67/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/69/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/70/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/71/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/72/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/73/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/76/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/53/
http://swapi.co/api/films/6/,http://swapi.co/api/vehicles/56/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/8/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/16/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/18/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/19/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/24/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/25/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/26/
http://swapi.co/api/films/3/,http://swapi.co/api/vehicles/30/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/8/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/14/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/16/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/18/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/19/
http://swapi.co/api/films/2/,http://swapi.co/api/vehicles/20/
