species,films
http://swapi.co/api/species/5/,http://swapi.co/api/films/3/
http://swapi.co/api/species/5/,http://swapi.co/api/films/1/
http://swapi.co/api/species/6/,http://swapi.co/api/films/5/
http://swapi.co/api/species/6/,http://swapi.co/api/films/4/
http://swapi.co/api/species/6/,http://swapi.co/api/films/6/
http://swapi.co/api/species/6/,http://swapi.co/api/films/3/
http://swapi.co/api/species/6/,http://swapi.co/api/films/2/
http://swapi.co/api/species/7/,http://swapi.co/api/films/2/
http://swapi.co/api/species/8/,http://swapi.co/api/films/3/
http://swapi.co/api/species/9/,http://swapi.co/api/films/3/
http://swapi.co/api/species/10/,http://swapi.co/api/films/3/
http://swapi.co/api/species/11/,http://swapi.co/api/films/4/
http://swapi.co/api/species/12/,http://swapi.co/api/films/5/
http://swapi.co/api/species/12/,http://swapi.co/api/films/4/
http://swapi.co/api/species/13/,http://swapi.co/api/films/5/
http://swapi.co/api/species/13/,http://swapi.co/api/films/4/
http://swapi.co/api/species/14/,http://swapi.co/api/films/4/
http://swapi.co/api/species/15/,http://swapi.co/api/films/5/
http://swapi.co/api/species/15/,http://swapi.co/api/films/4/
http://swapi.co/api/species/15/,http://swapi.co/api/films/6/
http://swapi.co/api/species/15/,http://swapi.co/api/films/3/
http://swapi.co/api/species/16/,http://swapi.co/api/films/4/
http://swapi.co/api/species/17/,http://swapi.co/api/films/4/
http://swapi.co/api/species/18/,http://swapi.co/api/films/4/
http://swapi.co/api/species/19/,http://swapi.co/api/films/4/
http://swapi.co/api/species/19/,http://swapi.co/api/films/6/
http://swapi.co/api/species/20/,http://swapi.co/api/films/4/
http://swapi.co/api/species/20/,http://swapi.co/api/films/6/
http://swapi.co/api/species/21/,http://swapi.co/api/films/4/
http://swapi.co/api/species/22/,http://swapi.co/api/films/4/
http://swapi.co/api/species/23/,http://swapi.co/api/films/4/
http://swapi.co/api/species/23/,http://swapi.co/api/films/6/
http://swapi.co/api/species/24/,http://swapi.co/api/films/4/
http://swapi.co/api/species/24/,http://swapi.co/api/films/6/
http://swapi.co/api/species/25/,http://swapi.co/api/films/4/
http://swapi.co/api/species/25/,http://swapi.co/api/films/6/
http://swapi.co/api/species/26/,http://swapi.co/api/films/4/
http://swapi.co/api/species/26/,http://swapi.co/api/films/6/
http://swapi.co/api/species/27/,http://swapi.co/api/films/4/
http://swapi.co/api/species/27/,http://swapi.co/api/films/6/
http://swapi.co/api/species/28/,http://swapi.co/api/films/5/
http://swapi.co/api/species/28/,http://swapi.co/api/films/6/
http://swapi.co/api/species/29/,http://swapi.co/api/films/5/
http://swapi.co/api/species/29/,http://swapi.co/api/films/6/
http://swapi.co/api/species/30/,http://swapi.co/api/films/5/
http://swapi.co/api/species/30/,http://swapi.co/api/films/6/
http://swapi.co/api/species/31/,http://swapi.co/api/films/5/
http://swapi.co/api/species/32/,http://swapi.co/api/films/5/
http://swapi.co/api/species/33/,http://swapi.co/api/films/5/
http://swapi.co/api/species/33/,http://swapi.co/api/films/6/
http://swapi.co/api/species/34/,http://swapi.co/api/films/5/
http://swapi.co/api/species/34/,http://swapi.co/api/films/6/
http://swapi.co/api/species/35/,http://swapi.co/api/films/5/
http://swapi.co/api/species/35/,http://swapi.co/api/films/6/
http://swapi.co/api/species/36/,http://swapi.co/api/films/6/
http://swapi.co/api/species/37/,http://swapi.co/api/films/6/
http://swapi.co/api/species/3/,http://swapi.co/api/films/7/
http://swapi.co/api/species/3/,http://swapi.co/api/films/6/
http://swapi.co/api/species/3/,http://swapi.co/api/films/3/
http://swapi.co/api/species/3/,http://swapi.co/api/films/2/
http://swapi.co/api/species/3/,http://swapi.co/api/films/1/
http://swapi.co/api/species/2/,http://swapi.co/api/films/7/
http://swapi.co/api/species/2/,http://swapi.co/api/films/5/
http://swapi.co/api/species/2/,http://swapi.co/api/films/4/
http://swapi.co/api/species/2/,http://swapi.co/api/films/6/
http://swapi.co/api/species/2/,http://swapi.co/api/films/3/
http://swapi.co/api/species/2/,http://swapi.co/api/films/2/
http://swapi.co/api/species/2/,http://swapi.co/api/films/1/
http://swapi.co/api/species/1/,http://swapi.co/api/films/7/
http://swapi.co/api/species/1/,http://swapi.co/api/films/5/
http://swapi.co/api/species/1/,http://swapi.co/api/films/4/
http://swapi.co/api/species/1/,http://swapi.co/api/films/6/
http://swapi.co/api/species/1/,http://swapi.co/api/films/3/
http://swapi.co/api/species/1/,http://swapi.co/api/films/2/
http://swapi.co/api/species/1/,http://swapi.co/api/films/1/
http://swapi.co/api/species/4/,http://swapi.co/api/films/1/
